nombre,linea,latitud,longitud,estaciones,ID
LAS TORRES,Linea 4,-33.5002880403036,-70.5871172199117,LAS TORRES,84
MACUL,Linea 4,-33.50788092466,-70.5898862908332,MACUL,85
,,,,VICUÑA MACKENNA,86
,,,,VICENTE VALDÉS,87
ROJAS MAGALLANES,Linea 4,-33.5355626060666,-70.5928370493258,ROJAS MAGALLANES,88
TRINIDAD,Linea 4,-33.547121952292,-70.5876809438422,TRINIDAD,89
,,,,SAN JOSÉ DE LA ESTRELLA,90
LOS QUILLAYES,Linea 4,-33.5645917878309,-70.584444276657,LOS QUILLAYES,91
ELISA CORREA,Linea 4,-33.5689523531882,-70.5837043561629,ELISA CORREA,92
,,,,HOSPITAL SÓTERO DEL RÍO,93
,,,,PROTECTORA DE LA INFANC,94
LAS MERCEDES,Linea 4,-33.5941574600372,-70.5788154697052,LAS MERCEDES,95
PLAZA PUENTE ALTO,Linea 4,-33.6093702375755,-70.5758486831562,PLAZA PUENTE ALTO,96
,,,,VICUÑA MACKENNA,97
SANTA JULIA,Linea 4A,-33.5311793436307,-70.6054423508582,SANTA JULIA,98
LA GRANJA,Linea 4A,-33.5376493232418,-70.6099648126666,LA GRANJA,99
SANTA ROSA,Linea 4A,-33.5425154965582,-70.6341413946416,SANTA ROSA,100
,,,,SAN RAMÓN,101
LA CISTERNA,Linea 2,-33.537566174714,-70.6641952959095,LA CISTERNA,102
,,,,PLAZA MAIPÚ,103
SANTIAGO BUERAS,Linea 5,-33.4963897197621,-70.7573803172831,SANTIAGO BUERAS,104
DEL SOL,Linea 5,-33.4889479412597,-70.7520933538652,DEL SOL,105
MONTE TABOR,Linea 5,-33.4821387353957,-70.7451309299808,MONTE TABOR,106
LAS PARCELAS,Linea 5,-33.4753144125047,-70.7397283084099,LAS PARCELAS,107
LAGUNA SUR,Linea 5,-33.4628175223006,-70.737813557863,LAGUNA SUR,108
BARRANCAS,Linea 5,-33.4524414479452,-70.7391762010878,BARRANCAS,109
PUDAHUEL,Linea 5,-33.4447327949532,-70.7406491012186,PUDAHUEL,110
SAN PABLO,Linea 1,-33.4441895493096,-70.7232885295238,SAN PABLO,111
LO PRADO,Linea 5,-33.4431112566683,-70.7157402734013,LO PRADO,112
BLANQUEADO,Linea 5,-33.4414418276839,-70.7071813991128,BLANQUEADO,113
GRUTA DE LOURDES,Linea 5,-33.4380879348105,-70.6911874889366,GRUTA DE LOURDES,114
QUINTA NORMAL,Linea 5,-33.4403440798742,-70.6800734685287,QUINTA NORMAL,115
,,,,CUMMING,116
