nombre,linea,latitud,longitud
CARLOS VALDOVINO,Linea 5,-33.4863019940656,-70.6191657711169
SAN JOAQUIN,Linea 5,-33.4961550686448,-70.6164085931574
PEDRERO,Linea 5,-33.5079730072836,-70.6131830231273
MIRADOR,Linea 5,-33.5131093364346,-70.6061307671229
BELLAVISTA,Linea 5,-33.5206805503697,-70.5987179941017
VICENTE VALDES,Linea 5,-33.5264955551145,-70.5965021479863
PLAZA DE MAIPU,Linea 5,-33.5104905971795,-70.7571658502422
BARRANCAS,Linea 5,-33.4524414479452,-70.7391762010878
LAGUNA SUR,Linea 5,-33.4628175223006,-70.737813557863
LAS PARCELAS,Linea 5,-33.4753144125047,-70.7397283084099
MONTE TABOR,Linea 5,-33.4821387353957,-70.7451309299808
DEL SOL,Linea 5,-33.4889479412597,-70.7520933538652
SANTIAGO BUERAS,Linea 5,-33.4963897197621,-70.7573803172831
LO PRADO,Linea 5,-33.4431112566683,-70.7157402734013
GRUTA DE LOURDES,Linea 5,-33.4380879348105,-70.6911874889366
BLANQUEADO,Linea 5,-33.4414418276839,-70.7071813991128
PUDAHUEL,Linea 5,-33.4447327949532,-70.7406491012186
INES DE SUAREZ,Linea 6,-33.438561733474,-70.6075603009336
ESTADIO NACIONAL,Linea 6,-33.4624574528369,-70.6063873907723
BIO BIO,Linea 6,-33.4763562279478,-70.6421861116224
CLUB HÍPICO,Linea 6,-33.4763962382219,-70.6651150536021
LO VALLEDOR,Linea 6,-33.4762926087901,-70.6802960685304
CERRILLOS,Linea 6,-33.4833088251866,-70.695292499727
