Unnamed: 1,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afluencia anual (millones),649.0,667.0,668.0,661.172193,670.073127,685.064047,721.0073110000001,703.7,263.358863,359.367417,544.412116,599.0
"Afluencia media Día Laboral, Ene-Dic (miles)",2201.0,2266.0,2268.0,2241.684,2266.499,2346.954,2470.768,2409.0,894.56,1.219 ,1837.285076,2027.0
"Afluencia media Día Laboral, Punta Mañana [7:00-9:00], Mar-Dic (miles)",430.0,444.0,441.0,432.821,437.907,455.939,489.233,488.0,137.365, 232,386.93402392344495,427.0
Afluencia diaria máxima (miles),2581.0,2632.0,2627.0,2549.092,2560.209,2670.829,2833.173,2977.0,2125.041,1807.86,2122.771,2361.0
Pasajeros / Km de red,6265.0,6440.0,6448.0,6385.052563978754,6474.136492753623,5747.181602348993,6048.719052013423,5026.0,1881.13473571429,2566.9107,3888.6588479167576,4020.0
Afluencia / Coche-Km,4.9,4.7,4.8,4.798869853458329,4.968657326115972,5.039644293228381,4.894968822827199,4.6,2.3127494465133345," 2,6",3.5528667457445957,3.8
