comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13125,40335,6759,5343,5590,6228,9221,3488,76964
13503,9391,1156,923,842,879,1302,626,15119
13126,31591,4864,3895,3917,4019,5319,2122,55727
13401,69327,9612,7450,7603,7860,10690,4295,116837
13132,1811,453,389,442,393,2114,787,6389
13601,19635,2293,1961,1882,2106,2988,1316,32181
13502,1578,225,185,159,217,291,184,2839
13127,44599,5980,4649,4563,4647,5615,2087,72140
13128,39431,5479,4169,4080,4339,5387,2078,64963
13501,34676,4139,3393,3357,3311,4399,2293,55568
13403,4887,762,545,555,568,763,287,8367
13201,128251,18482,14204,14466,15494,22108,8663,221668
13402,24294,3141,2488,2587,2716,3906,1632,40764
13404,19578,2567,2089,1982,2124,2519,978,31837
13603,8724,1099,924,852,874,1069,430,13972
13602,11088,1230,1020,959,1018,1259,508,17082
13303,4774,599,515,499,542,803,396,8128
13131,27986,3323,2513,2366,2457,2832,1034,42511
13124,55925,7987,6317,6278,6718,9356,3778,96359
13301,28862,3430,2715,2820,2904,4083,1688,46502
13130,23079,3748,2925,3209,3640,6466,3173,46240
13302,24040,3048,2209,2431,2579,4222,1598,40127
13129,30571,3681,2816,2811,2985,4036,1764,48664
13605,17950,2859,2246,2152,2394,3535,1454,32590
13203,3924,589,429,393,430,718,288,6771
13505,2677,321,202,207,187,310,107,4011
13202,5392,715,652,617,646,934,385,9341
13123,9062,1772,1219,1553,1558,4964,2714,22842
13504,3827,479,404,382,384,517,177,6170
13604,16117,2311,1789,1654,1905,2884,1181,27841
13101,74123,12311,10637,11636,12696,18263,9460,149126
13105,46895,5784,4506,4159,4235,5065,1896,72540
13103,45660,5318,4323,3995,4164,4547,1840,69847
13104,33894,4835,3887,3791,3972,4907,1789,57075
13112,51912,6492,4887,4318,4168,4248,1428,77453
13114,17073,3753,3019,3650,3724,14407,9732,55358
13113,9351,1610,1271,1359,1415,3096,1148,19250
13111,35217,4800,3666,3567,3468,4119,1517,56354
13110,79365,11871,9061,9478,9871,15645,6206,141497
13109,20997,3060,2344,2509,2648,3975,1650,37183
13122,56710,7213,5564,5250,5383,6967,2250,89337
13121,29463,4031,2991,2837,2976,3535,1408,47241
13120,21988,4114,3052,3510,3747,9591,4838,50840
13118,25197,3975,3049,3154,3335,5702,2397,46809
13117,28821,3937,3257,3051,2996,3724,1546,47332
13107,18703,2529,1967,2094,2139,3559,1649,32640
13106,40000,6077,5073,5235,5388,6717,2614,71104
13115,8431,1486,1280,1212,1206,2013,690,16318
13116,28664,3557,2697,2481,2451,2764,897,43511
13108,26224,4141,3616,3593,3764,4402,1667,47407
13119,106800,17600,13514,14179,16106,26965,11255,206419
13102,19638,2819,2105,2100,2379,3221,1320,33582
