comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13101,27366,5172,4613,4850,5225,7560,3410,58196
13106,19962,3800,3308,3224,3406,4303,1518,39521
13107,11523,2272,1988,1931,1881,2478,963,23036
13108,12089,2276,2000,2016,2052,2796,997,24226
13110,45608,8656,7149,7287,7827,10799,3908,91234
13109,10490,1903,1538,1523,1759,2428,862,20503
13111,21937,4247,3484,3432,3448,4022,1299,41869
13105,28173,4698,3814,3414,3550,3920,1140,48709
13103,29133,4479,3939,3580,3757,4307,1594,50789
13104,20155,3923,3334,3349,3366,4046,1309,39482
13102,11855,2236,1894,1888,1890,2644,938,23345
13120,11020,2401,1998,2116,2336,4841,2213,26925
13122,33359,5369,4541,4191,4136,4425,1353,57374
13123,4087,914,770,836,972,2646,1443,11668
13124,34886,6884,6133,5880,6669,8154,2900,71506
13119,62806,14152,11973,12741,15377,22581,8372,148002
13121,19322,3610,2994,2904,2837,3480,1225,36372
13114,8931,2451,2207,2761,3169,10339,7198,37056
13116,18027,3172,2583,2273,2147,2263,653,31118
13118,13497,2765,2341,2394,2582,3776,1440,28795
13112,33300,5745,4803,4326,4178,4104,1180,57636
13117,18529,3450,2888,2776,2864,3465,1302,35274
13115,5014,1214,1065,1142,1060,1517,484,11496
13113,5368,1152,1063,1059,1127,1914,761,12444
13131,18521,2957,2440,2221,2264,2483,815,31701
13201,75705,14804,12477,12638,14062,17075,5682,152443
13129,18940,2851,2404,2376,2610,3502,1358,34041
13130,11054,1964,1599,1685,1847,3097,1319,22565
13132,1106,292,244,281,301,1160,492,3876
13126,18117,3419,3044,2946,3107,4085,1448,36166
13127,25562,4328,3583,3463,3533,4269,1370,46108
13128,24029,4730,3975,3570,3904,4522,1600,46330
13125,22764,5162,4575,4825,5377,7248,2551,52502
13404,12430,2168,1842,1693,1723,1993,675,22524
13501,21693,3502,2951,2833,2853,3597,1589,39018
13601,13149,2085,1873,1697,1845,2425,908,23982
13402,14734,2420,1953,1972,2109,2357,770,26315
13403,2815,622,471,461,450,503,195,5517
13602,7449,1055,856,792,787,889,319,12147
13603,5455,959,815,760,671,730,268,9658
13502,999,161,114,96,139,233,139,1881
13503,6398,1049,828,755,821,1052,479,11382
13504,2443,440,355,330,279,352,111,4310
13505,1739,281,175,176,148,197,56,2772
13301,18186,2939,2448,2282,2257,2815,1018,31945
13401,42795,7870,6828,6458,6737,7977,2788,81453
13302,13810,2208,1744,1722,1683,2251,674,24092
13202,2840,622,484,471,502,658,252,5829
13203,2396,416,370,381,392,475,176,4606
13303,3074,543,444,455,445,605,202,5768
13604,9341,1721,1488,1375,1460,1783,614,17782
13605,11488,2509,2151,2120,2235,2774,895,24172
