comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13104,21720,3929,3501,3350,3480,4568,1546,42094
13107,13149,2376,2094,2072,2022,3213,1482,26408
13105,32399,5006,4126,3703,3703,4643,1551,55131
13106,23438,4029,3548,3526,3780,5174,1938,45433
13108,13510,2477,2302,2230,2261,3189,1231,27200
13101,32265,5979,5621,5868,6664,9747,4876,71020
13103,31409,4558,4101,3662,3736,4701,1817,53984
13102,12971,2389,1979,1848,1976,2909,1095,25167
13117,20579,3394,3065,2796,2945,3777,1563,38119
13121,21007,3669,3094,2746,2857,3632,1383,38388
13119,76960,14906,13255,13656,16009,25559,10497,170842
13120,12870,2560,2404,2370,2673,5789,2812,31478
13118,16220,2979,2509,2525,2723,4323,1761,33040
13122,37753,5933,4957,4546,4464,5363,1752,64768
13116,19670,3219,2662,2230,2189,2544,784,33298
13112,35800,6059,5071,4387,4067,4319,1378,61081
13114,11889,2770,2675,3368,3669,12349,8954,45674
13109,12453,2131,1722,1659,1826,2776,1065,23632
13110,51119,9093,7782,7734,8030,12237,4581,100576
13115,5733,1247,1270,1255,1214,1665,609,12993
13113,6106,1192,1082,1182,1182,2363,911,14018
13111,24624,4397,3672,3437,3464,4247,1557,45398
13128,26726,4722,4018,3648,3815,4863,1858,49650
13131,20129,2910,2484,2256,2250,2678,1015,33722
13129,21338,2962,2561,2429,2514,3644,1551,36999
13130,13679,2253,1868,1957,2055,3802,1709,27323
13132,1304,314,320,396,362,1520,609,4825
13201,84545,15265,13676,12986,14445,19462,6966,167345
13127,29349,4604,4068,3830,3792,5051,1786,52480
13125,26513,5600,4922,4847,5473,8218,2977,58550
13126,20646,3858,3228,3243,3229,4592,1841,40637
13124,38169,7134,6166,5834,6470,8643,3332,75748
13123,4992,1014,845,997,1089,3100,1700,13737
13401,47355,8369,6955,6413,6585,8720,3285,87682
13501,25273,3628,3229,3032,3024,4061,2135,44382
13402,16599,2576,2248,2150,2166,2805,1002,29546
13403,3466,648,507,488,452,618,252,6431
13404,14216,2365,1896,1752,1790,2159,854,25032
13202,3417,654,588,530,527,737,321,6774
13302,16388,2360,2023,1862,1910,2886,922,28351
13203,2751,468,382,389,406,554,251,5201
13301,20628,2906,2556,2353,2462,3301,1349,35555
13303,3586,518,449,406,444,708,296,6407
13605,13118,2659,2188,2066,2214,3050,1122,26417
13502,1126,157,145,129,135,271,154,2117
13503,7149,1078,843,798,823,1182,560,12433
13602,8361,1095,914,869,854,1021,397,13511
13603,6159,1048,884,730,696,821,297,10635
13504,2811,453,397,325,318,360,140,4804
13505,2000,298,167,182,143,219,73,3082
13601,14591,1992,1957,1797,1894,2559,1068,25858
13604,11281,1831,1637,1575,1648,2315,833,21120
