comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13106,18644,3778,3085,3088,3019,3966,1287,36867
13103,27972,4625,3987,3603,3465,4245,1338,49235
13104,19118,3898,3321,3249,3170,3890,1131,37777
13105,26356,4546,3762,3380,3115,3713,969,45841
13107,10794,2236,1957,1839,1686,2328,703,21543
13102,11361,2355,1844,1909,1802,2604,842,22717
13101,25286,4829,4271,4372,4593,6692,2749,52792
13120,10149,2295,1863,2065,2086,4354,1954,24766
13115,4785,1185,1068,1071,1041,1331,456,10937
13117,17381,3419,2825,2793,2675,3398,1168,33659
13119,56827,13744,11741,12524,13444,21183,7181,136644
13121,18570,3681,2942,2916,2708,3401,1062,35280
13118,12490,2643,2326,2336,2287,3597,1313,26992
13116,17535,3232,2499,2288,2060,2218,569,30401
13122,30248,5414,4351,4004,3650,3992,1104,52763
13112,31693,5702,4901,4381,4107,3956,1008,55748
13113,5168,1163,1064,1101,1034,1786,682,11998
13109,9701,1893,1482,1497,1469,2335,777,19154
13110,42865,8702,6911,7096,7120,10310,3451,86455
13114,8223,2461,2130,2632,2866,9416,6411,34139
13111,20687,4148,3493,3419,3183,3916,1191,40037
13108,11549,2323,1979,1964,1911,2547,926,23199
13201,70640,14490,12213,12543,12491,15945,4866,143188
13128,23114,4674,3842,3721,3645,4455,1439,44890
13129,18214,2952,2422,2460,2466,3346,1255,33115
13131,17861,3045,2390,2239,2066,2361,702,30664
13130,10533,2042,1635,1577,1629,3018,1181,21615
13132,1053,300,215,270,266,1091,452,3647
13126,17332,3446,2987,2817,2798,3913,1260,34553
13124,33249,6906,5975,6034,6101,8091,2546,68902
13125,20786,5230,4408,4700,4917,7074,2269,49384
13127,23331,4404,3389,3283,3124,4025,1160,42716
13123,3831,870,719,839,828,2390,1288,10765
13503,6043,1040,824,740,741,996,405,10789
13401,40718,8192,6614,6431,6186,7806,2469,78416
13404,11864,2102,1809,1714,1577,1854,595,21515
13501,19952,3455,2830,2733,2598,3198,1257,36023
13402,13849,2350,1996,1912,1816,2118,610,24651
13504,2098,456,349,348,288,306,85,3930
13505,1650,278,176,156,156,186,56,2658
13601,12490,2115,1819,1681,1734,2253,822,22914
13602,7049,1063,850,782,744,841,261,11590
13403,2573,572,456,446,397,477,175,5096
13502,861,158,123,129,111,253,127,1762
13202,2535,606,447,492,468,640,219,5407
13301,16887,3008,2367,2290,2119,2618,848,30137
13302,12190,2077,1749,1612,1422,2096,565,21711
13203,2153,452,347,341,337,466,153,4249
13303,2957,477,493,423,437,601,198,5586
13605,11000,2543,2111,2101,1992,2643,767,23157
13603,5080,942,832,738,660,749,220,9221
13604,8420,1706,1414,1384,1261,1724,470,16379
