comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13104,20918,4121,3407,3405,3511,4531,1505,41398
13105,30310,5078,4108,3754,3581,4520,1395,52746
13107,12497,2440,2087,2016,2029,3132,1328,25529
13106,21626,3982,3482,3463,3692,5026,1804,43075
13108,12923,2539,2197,2172,2220,3089,1130,26270
13101,30294,5770,5299,5573,6176,8945,4311,66368
13103,30570,4711,4092,3674,3817,4636,1764,53264
13102,12433,2445,1883,1937,1977,2882,1033,24590
13117,19717,3517,3132,2867,2938,3784,1478,37433
13118,14996,2979,2467,2436,2646,4141,1635,31300
13119,71652,15231,12710,13723,15911,25130,9833,164190
13121,20151,3878,3033,2907,2908,3618,1361,37856
13120,12296,2621,2197,2294,2470,5384,2496,29758
13122,36562,6053,4973,4627,4434,5232,1588,63469
13109,11478,2093,1642,1686,1789,2724,993,22405
13110,48663,9382,7688,7626,7916,12042,4266,97583
13111,23272,4620,3676,3569,3454,4343,1445,44379
13115,5434,1316,1248,1222,1220,1577,565,12582
13112,34330,6312,5138,4429,4191,4314,1326,60040
13114,10891,2785,2599,3192,3602,11498,8223,42790
13116,18938,3322,2610,2346,2225,2519,733,32693
13113,5772,1244,1015,1177,1174,2222,848,13452
13128,25468,4910,3967,3709,3879,4937,1773,48643
13129,20182,2977,2586,2438,2525,3655,1468,35831
13132,1236,311,305,379,330,1430,569,4560
13130,12465,2064,1803,1821,1908,3517,1539,25117
13131,19340,3140,2481,2329,2266,2741,930,33227
13201,81112,15902,13224,13266,14583,19190,6645,163922
13127,28017,4785,3863,3748,3790,4911,1601,50715
13123,4730,999,807,961,1049,2974,1538,13058
13124,36980,7439,6188,6156,6471,8742,3252,75228
13125,25156,5646,5001,5007,5478,8057,2850,57195
13126,19339,3732,3155,3144,3158,4423,1730,38681
13401,45475,8718,6886,6619,6581,8755,3127,86161
13402,15897,2616,2166,2165,2146,2703,920,28613
13501,23721,3840,3153,2974,3000,3926,1993,42607
13403,3223,659,472,484,462,608,227,6135
13404,13567,2328,1897,1738,1833,2112,814,24289
13302,15503,2480,1923,1892,1866,2750,837,27251
13203,2617,502,391,360,387,572,211,5040
13301,19617,3069,2466,2414,2397,3303,1233,34499
13303,3456,567,456,404,470,687,250,6290
13202,3119,645,538,543,520,705,281,6351
13503,6869,1074,865,828,803,1146,546,12131
13504,2656,460,375,315,317,399,126,4648
13505,1916,296,164,174,132,219,71,2972
13601,14106,2013,1935,1835,1894,2588,1025,25396
13602,8103,1131,878,842,838,1007,360,13159
13603,5804,1066,885,767,709,814,276,10321
13604,10392,1874,1601,1551,1612,2161,777,19968
13605,12410,2685,2239,2230,2240,3081,1069,25954
13502,1079,178,122,113,134,251,151,2028
