stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PG16,,PG16-Parada / Paradero 33 Gran Avenida,-33.559453,-70.679304,,0
PG17,,PG17-Parada / Escuela De Aviación,-33.561597,-70.680990,,0
PG18,,PG18-Parada / Paradero 35 Gran Avenida,-33.563722,-70.682690,,0
PG19,,PG19-Parada / Paradero 36 Gran Avenida,-33.566086,-70.684625,,0
PG20,,PG20-Parada 1 / Paradero 36 1/2 Gran Avenida,-33.568103,-70.686282,,0
PG21,,PG21-Parada / Paradero 37 Gran Avenida,-33.570893,-70.688342,,0
PG22,,PG22-Parada / Paradero 38 Gran Avenida,-33.573675,-70.690367,,0
PG23,,PG23-Parada 1 / Paradero 39 Gran Avenida,-33.575908,-70.691997,,0
PG24,,PG24-Parada / Paradero 4 Gran Avenida,-33.578555,-70.693926,,0
PG25,,PG25-Parada 1 / Paradero 41 Gran Avenida,-33.582378,-70.696760,,0
PG26,,PG26-Parada 2 / Est.Freire,-33.585688,-70.700276,,0
PG27,,PG27-Av.José M. Balmaceda / Esq. Urmeneta,-33.585170,-70.703866,,0
PG28,,PG28-Urmeneta / Esq. 12 De Febrero,-33.586493,-70.704602,,0
PG29,,PG29-Urmeneta / Esq. Av. Colón-Norte,-33.589082,-70.705569,,0
PG30,,PG30-Urmeneta / Esq. Covadonga,-33.593444,-70.707153,,0
PG31,,PG31-San José / Esq. Eyzaguirre,-33.596149,-70.706927,,0
PG32,,PG32-San José / Esq. Bulnes,-33.596788,-70.702608,,0
PG1204,,PG1204-San José / Esq. San Martín,-33.598524,-70.695461,,0
PG1580,,PG1580-José Besa / Esq. Antonio Varas,-33.598218,-70.693841,,0
PG1581,,PG1581-José Besa / Esq. San José,-33.598695,-70.694257,,0
PG1219,,PG1219-San José / Esq. José Besa,-33.598979,-70.693969,,0
PG529,,PG529-José Joaquín Pérez / Esq. San José,-33.596870,-70.701102,,0
PG36,,PG36-Esmeralda / Esq. Bulnes,-33.598211,-70.702615,,0
PG37,,PG37-Freire / Esq. San José,-33.596742,-70.705263,,0
PG1599,,PG1599-Parada 2 / Plaza De San Bernardo,-33.592241,-70.703689,,0
PG40,,PG40-Freire / Esq. 12 De Febrero,-33.588064,-70.700867,,0
PG41,,PG41-Parada 1 / Est.Freire,-33.586197,-70.699246,,0
PG43,,PG43-Parada 2 / Paradero 41 Gran Avenida,-33.582105,-70.696237,,0
PG44,,PG44-Parada / Paradero 4 Gran Avenida,-33.579676,-70.694417,,0
PG45,,PG45-Parada 2 / Paradero 39 Gran Avenida,-33.576838,-70.692365,,0
PG46,,PG46-Parada / Paradero 38 Gran Avenida,-33.574467,-70.690630,,0
PG47,,PG47-Parada / Paradero 37 Gran Avenida,-33.571791,-70.688651,,0
PG48,,PG48-Parada 2 / Paradero 36 1/2 Gran Avenida,-33.568678,-70.686419,,0
PG49,,PG49-Parada / Paradero 36 Gran Avenida,-33.566414,-70.684569,,0
PG50,,PG50-Parada / Paradero 35 Gran Avenida,-33.564222,-70.682787,,0
PG51,,PG51-Parada / Escuela De Aviación,-33.561621,-70.680728,,0
PG52,,PG52-Parada / Paradero 33 Gran Avenida,-33.559221,-70.678847,,0
PG53,,PG53-Gran Avenida / Esq. Los Treboles,-33.557603,-70.677574,,0
PG54,,PG54-Parada / Paradero 32 Gran Avenida,-33.555716,-70.676082,,0
PG55,,PG55-Parada 2 / Paradero 31 Gran Avenida,-33.553763,-70.674543,,0
PG56,,PG56-Parada 2 / Paradero 30 Gran Avenida,-33.551338,-70.672624,,0
PG57,,PG57-Parada / Paradero 29 Gran Avenida,-33.549218,-70.670974,,0
PG58,,PG58-Parada 2 / Paradero 28 Gran Avenida,-33.545890,-70.668331,,0
PG59,,PG59-Parada 2 / Paradero 27 Gran Avenida,-33.543064,-70.666086,,0
