Comuna,Número de hogares 60% menores ingresos,% sobre total de hogares con RSH,Total de hogares con RSH
Santiago,104007.0,0.4826221323038087,215504.0
Cerrillos,25610.0,0.6297024834029997,40670.0
Cerro Navia,55448.0,0.7065239551478084,78480.0
Conchalí,44433.0,0.6503849644310431,68318.0
El Bosque,58715.0,0.6933259334482678,84686.0
Estación Central,54589.0,0.5916031775275541,92273.0
Huechuraba,23828.0,0.5955957707401205,40007.0
Independencia,35885.0,0.5870276460003272,61130.0
La Cisterna,27900.0,0.5826824276346018,47882.0
La Florida,103716.0,0.5804241983323073,178690.0
La Granja,44710.0,0.6908967286325777,64713.0
La Pintana,65082.0,0.7357889024555692,88452.0
La Reina,13425.0,0.4936387704074128,27196.0
Las Condes,26622.0,0.3442514838426028,77333.0
Lo Barnechea,12090.0,0.5577854671280277,21675.0
Lo Espejo,36934.0,0.7194421177708086,51337.0
Lo Prado,36220.0,0.670715899411133,54002.0
Macul,33262.0,0.5514074467026955,60322.0
Maipú,137664.0,0.5578116072984242,246793.0
Ñuñoa,32938.0,0.4114781131321207,80048.0
Pedro Aguirre Cerda,37985.0,0.6936125922138632,54764.0
Peñalolén,71846.0,0.6541326001056139,109834.0
Providencia,14374.0,0.3661512596479608,39257.0
Pudahuel,71378.0,0.621819163857164,114789.0
Quilicura,54976.0,0.5616788246592697,97878.0
Quinta Normal,42068.0,0.6128073651089616,68648.0
Recoleta,57907.0,0.6621045289792932,87459.0
Renca,49292.0,0.6568325671263908,75045.0
San Joaquín,38627.0,0.6577831514057524,58723.0
San Miguel,30765.0,0.4758038324131211,64659.0
San Ramón,34385.0,0.7094225174854031,48469.0
Vitacura,3474.0,0.300025908973141,11579.0
Puente Alto,164949.0,0.6111168742636544,269914.0
Pirque,7290.0,0.6144639244774106,11864.0
San José de Maipo,5458.0,0.6359822885108366,8582.0
Colina,37137.0,0.6379502860185869,58213.0
Lampa,31159.0,0.6091333841612417,51153.0
Tiltil,6143.0,0.6195663136661623,9915.0
San Bernardo,91947.0,0.6394355814568062,143794.0
Buin,31943.0,0.6280327159765641,50862.0
Calera de Tango,6732.0,0.643410111822613,10463.0
Paine,26668.0,0.6859406348063172,38878.0
Melipilla,45703.0,0.7023990655785575,65067.0
Alhué,2378.0,0.6359989301952393,3739.0
Curacaví,12330.0,0.6834432681115238,18041.0
María Pinto,5103.0,0.6967504096122338,7324.0
San Pedro,3765.0,0.7610673135233474,4947.0
Talagante,25316.0,0.6526929125738005,38787.0
El Monte,13858.0,0.7023109669572268,19732.0
Isla de Maipo,11693.0,0.6862491930277599,17039.0
Padre Hurtado,20896.0,0.6131635317937733,34079.0
Peñaflor,24349.0,0.6145168210382859,39623.0
Región Metropolitana,2054972.0,0.6021664809350908,3412631.0
