Comuna,Número de personas 60% menores ingresos,% sobre total de personas con RSH,Total de personas con RSH
Santiago,178167.0,0.5181080609514948,343880.0
Cerrillos,51686.0,0.6620044828690362,78075.0
Cerro Navia,107070.0,0.7546039509757627,141889.0
Conchalí,86888.0,0.6859777519875575,126663.0
El Bosque,117706.0,0.7381306242749193,159465.0
Estación Central,102480.0,0.6342840166369578,161568.0
Huechuraba,49883.0,0.6031145340893977,82709.0
Independencia,66904.0,0.6286610976950471,106423.0
La Cisterna,52745.0,0.6075772934617334,86812.0
La Florida,197871.0,0.5920736086175943,334200.0
La Granja,89422.0,0.7324568947864193,122085.0
La Pintana,147179.0,0.7943641751088898,185279.0
La Reina,24925.0,0.4613946428240869,54021.0
Las Condes,44965.0,0.3012326656394453,149270.0
Lo Barnechea,25005.0,0.5525478410748221,45254.0
Lo Espejo,77100.0,0.7720731817225944,99861.0
Lo Prado,68821.0,0.7105350100146607,96858.0
Macul,60857.0,0.5592857405433225,108812.0
Maipú,271045.0,0.5702512896900536,475308.0
Ñuñoa,56273.0,0.3897750964515525,144373.0
Pedro Aguirre Cerda,76476.0,0.7283012399291469,105006.0
Peñalolén,139823.0,0.6727564040878384,207836.0
Providencia,21179.0,0.3298498629454273,64208.0
Pudahuel,144334.0,0.6542406839125527,220613.0
Quilicura,118057.0,0.5964251974073083,197941.0
Quinta Normal,79964.0,0.6528792690991925,122479.0
Recoleta,111106.0,0.7011036580363847,158473.0
Renca,102919.0,0.7051178405042478,145960.0
San Joaquín,68752.0,0.6871695435327982,100051.0
San Miguel,54788.0,0.485468207272985,112856.0
San Ramón,66212.0,0.7519647481033934,88052.0
Vitacura,5191.0,0.226236652865548,22945.0
Puente Alto,337874.0,0.636356273931116,530951.0
Pirque,15792.0,0.6378286683630195,24759.0
San José de Maipo,10707.0,0.6580014749262537,16272.0
Colina,78352.0,0.667837234278311,117322.0
Lampa,66316.0,0.6457128390878464,102702.0
Tiltil,12417.0,0.6519821475452875,19045.0
San Bernardo,200029.0,0.685469804292475,291813.0
Buin,66631.0,0.6606154944379449,100862.0
Calera de Tango,14685.0,0.6780091416962926,21659.0
Paine,54655.0,0.7227872039356229,75617.0
Melipilla,97044.0,0.736476230951369,131768.0
Alhué,4569.0,0.6375941948088194,7166.0
Curacaví,24834.0,0.71834774811258,34571.0
María Pinto,11205.0,0.7397504456327986,15147.0
San Pedro,8075.0,0.7834481420393907,10307.0
Talagante,49404.0,0.6799900900156908,72654.0
El Monte,28256.0,0.7485826312721878,37746.0
Isla de Maipo,25278.0,0.7189624278278677,35159.0
Padre Hurtado,43967.0,0.6477261008559348,67879.0
Peñaflor,56375.0,0.6491151308593075,86849.0
Región Metropolitana,4072258.0,0.6314094190331521,6449473.0
