comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13101,27789,5453,4921,5163,5554,8128,3853,60861
13109,10662,1936,1595,1645,1747,2527,969,21081
13110,46240,8887,7410,7446,7909,11380,4189,93461
13111,22147,4383,3659,3471,3502,4143,1450,42755
13106,20314,3885,3246,3367,3510,4604,1700,40626
13107,11684,2385,2051,1985,1933,2743,1110,23891
13108,12312,2337,2118,2044,2129,2914,1093,24947
13105,28906,4959,3898,3621,3517,4194,1294,50389
13102,11900,2314,1965,1902,1938,2715,1038,23772
13103,29259,4655,4006,3660,3741,4508,1728,51557
13104,20290,4017,3448,3404,3398,4245,1449,40251
13122,34402,5854,4784,4401,4252,4865,1481,60039
13124,35594,7212,6206,5906,6584,8492,3191,73185
13120,11364,2435,2063,2175,2453,5034,2358,27882
13121,19339,3801,3038,2945,2881,3584,1317,36905
13123,4250,926,807,919,971,2845,1484,12202
13119,65013,14774,12495,13170,15494,23595,9251,153792
13113,5517,1217,1009,1064,1119,2045,825,12796
13114,9527,2607,2344,2877,3417,11040,7522,39334
13115,5025,1265,1173,1151,1195,1517,542,11868
13117,18877,3555,3030,2799,2845,3664,1438,36208
13118,13970,2825,2427,2438,2629,3924,1593,29806
13116,18185,3297,2620,2254,2195,2340,681,31572
13112,33410,6127,4903,4447,4190,4241,1318,58636
13201,76937,15448,12883,13048,14308,17941,6352,156917
13130,11424,1993,1679,1743,1869,3333,1447,23488
13132,1109,302,260,328,295,1320,483,4097
13129,19222,2957,2408,2381,2566,3575,1461,34570
13131,18533,3052,2458,2316,2388,2569,928,32244
13125,23202,5374,4833,4947,5466,7596,2722,54140
13128,24397,4738,3945,3733,3823,4763,1744,47143
13126,18544,3558,3068,2960,3193,4313,1616,37252
13127,26177,4575,3642,3670,3659,4573,1529,47825
13503,6521,1084,864,780,778,1088,522,11637
13602,7627,1097,908,781,786,974,329,12502
13404,12671,2265,1894,1759,1734,2062,762,23147
13501,22150,3649,3033,2863,2891,3836,1794,40216
13603,5576,1022,825,729,698,781,283,9914
13504,2459,459,374,327,306,354,124,4403
13402,14963,2505,2060,2104,2108,2495,898,27133
13505,1770,292,175,170,153,209,62,2831
13601,13381,2125,1789,1797,1815,2549,983,24439
13403,2885,618,488,449,471,517,224,5652
13502,1012,160,133,114,117,244,152,1932
13203,2468,447,381,379,406,488,214,4783
13401,43020,8183,6890,6611,6677,8549,3026,82956
13302,14210,2364,1830,1817,1680,2430,791,25122
13303,3184,560,446,421,446,637,234,5928
13301,18589,2959,2527,2313,2349,3061,1149,32947
13202,2900,657,519,521,509,684,282,6072
13604,9558,1770,1458,1465,1544,1928,690,18413
13605,11576,2643,2197,2205,2163,2911,1032,24727
