comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13103,26971,4676,3928,3701,3611,4392,1314,48593
13106,17423,3724,2980,3072,3060,4030,1282,35571
13104,17886,3892,3239,3285,3152,4030,1185,36669
13105,24679,4588,3597,3415,3274,3931,1033,44517
13102,10783,2284,1858,1920,1826,2741,866,22278
13101,23532,4626,3989,4357,4463,6587,2682,50236
13115,4590,1212,1021,1058,1068,1367,460,10776
13116,16758,3349,2498,2281,2251,2395,587,30119
13121,17741,3719,2912,3015,2829,3593,1102,34911
13117,16411,3380,2848,2753,2727,3555,1160,32834
13119,52667,13520,11144,12573,13632,21728,7276,132540
13120,9257,2197,1799,1970,2101,4298,1957,23579
13122,28251,5232,4292,3983,3621,4034,1137,50550
13118,11467,2545,2173,2341,2330,3723,1367,25946
13114,7542,2398,2050,2552,2687,8958,6396,32583
13111,19431,4155,3388,3386,3354,4090,1243,39047
13113,4959,1177,1048,1063,991,1786,710,11734
13107,10222,2207,1853,1914,1696,2337,723,20952
13109,9127,1867,1421,1469,1540,2380,842,18646
13110,40668,8443,6706,7164,7163,10813,3645,84602
13108,11097,2248,1862,1912,1959,2570,950,22598
13112,29779,5883,4849,4626,4202,4274,1002,54615
13128,21846,4678,3761,3878,3722,4759,1429,44073
13201,65898,14522,11846,12695,12684,16451,4985,139081
13130,10021,1967,1606,1618,1703,3086,1178,21179
13131,16994,3090,2389,2323,2160,2438,696,30090
13129,17398,3019,2385,2544,2501,3528,1265,32640
13132,1022,282,213,253,259,1068,449,3546
13127,21746,4232,3365,3334,3072,4196,1178,41123
13125,19188,5151,4335,4789,5042,7269,2285,48059
13126,16675,3460,2763,2884,2831,4012,1289,33914
13124,31465,7002,5890,6271,6107,8294,2565,67594
13123,3591,800,694,821,808,2303,1271,10288
13402,12826,2327,1985,1958,1828,2154,636,23714
13503,5778,1035,803,802,748,1000,402,10568
13504,1909,482,363,363,289,315,84,3805
13403,2392,554,433,481,389,483,180,4912
13501,18496,3454,2840,2637,2516,3224,1209,34376
13505,1550,269,183,161,166,198,56,2583
13601,11974,2085,1728,1822,1720,2323,807,22459
13404,11480,2095,1749,1696,1600,1840,598,21058
13401,38782,8148,6595,6581,6405,8201,2626,77338
13502,795,150,115,123,118,250,134,1685
13302,11231,2124,1580,1622,1487,2134,561,20739
13202,2358,603,464,456,483,635,223,5222
13203,1982,439,350,338,343,469,178,4099
13303,2828,519,436,450,446,611,204,5494
13301,15838,3029,2389,2398,2127,2746,864,29391
13603,4768,977,785,780,674,768,225,8977
13604,7736,1722,1342,1431,1364,1674,447,15716
13605,10458,2505,2094,2141,2085,2710,747,22740
13602,6511,1054,874,826,772,892,249,11178
