comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13104,17501,3717,3172,3322,3168,3864,952,35696
13107,9994,2119,1897,1857,1670,2079,546,20162
13105,23744,4505,3661,3492,3190,3659,845,43096
13106,16936,3570,2897,3107,3014,3785,1088,34397
13103,26870,4616,3766,3736,3676,4174,1185,48023
13101,22412,4426,3782,4117,4389,6297,2211,47634
13102,10489,2315,1858,1995,1854,2610,751,21872
13117,16055,3394,2780,2790,2786,3402,1042,32249
13118,11105,2470,2068,2310,2392,3596,1187,25128
13122,27131,4967,4109,3910,3508,3763,972,48360
13119,50861,12971,11209,12812,13466,20900,6083,128302
13120,8691,2083,1716,2017,1985,4265,1763,22520
13121,17583,3653,2931,2996,2858,3451,920,34392
13116,16656,3217,2460,2357,2154,2320,502,29666
13113,4919,1120,981,1114,1039,1759,557,11489
13115,4636,1135,972,1076,1050,1331,379,10579
13109,8819,1754,1395,1455,1570,2326,698,18017
13110,39521,8304,6789,7111,7079,10440,3191,82435
13111,19152,4095,3354,3399,3253,3932,1044,38229
13114,7361,2268,1950,2577,2766,9307,5524,31753
13108,10822,2098,1854,1970,1867,2552,821,21984
13112,29164,5591,4923,4757,4207,4104,871,53617
13129,17335,2989,2423,2495,2552,3392,1144,32330
13201,62541,13488,11670,12489,12353,15507,4167,132215
13131,16668,2929,2407,2340,2056,2454,616,29470
13128,21151,4496,3869,3874,3709,4616,1232,42947
13130,9742,1962,1537,1718,1707,3031,990,20687
13132,996,237,202,277,253,1062,411,3438
13127,21011,4066,3326,3308,3119,3923,1044,39797
13124,30871,6879,5832,6151,6096,8265,2259,66353
13125,18408,4926,4284,4753,5160,7109,1981,46621
13126,16323,3273,2781,2858,2779,3987,1092,33093
13123,3432,758,649,829,769,2296,1063,9796
13404,11250,2041,1721,1768,1543,1767,511,20601
13603,4676,897,807,797,645,698,186,8706
13501,18081,3418,2748,2610,2403,2963,995,33218
13504,1943,413,341,405,265,303,67,3737
13505,1568,255,180,162,169,179,44,2557
13601,11549,2063,1701,1782,1685,2237,677,21694
13402,12543,2292,1898,1955,1868,2114,538,23208
13403,2270,539,439,460,375,468,146,4697
13602,6388,1054,840,837,766,860,218,10963
13502,767,139,118,122,130,259,102,1637
13503,5606,1017,791,818,727,998,345,10302
13401,38284,7811,6586,6719,6447,7884,2271,76002
13203,1901,405,342,364,346,471,150,3979
13302,10582,1895,1539,1601,1413,1992,464,19486
13303,2764,513,453,429,458,604,183,5404
13301,15382,2828,2316,2456,2132,2645,742,28501
13202,2310,543,480,437,477,590,205,5042
13604,7531,1593,1395,1343,1336,1640,380,15218
13605,10325,2445,2071,2155,2031,2571,648,22246
