comuna,número de jefes(as) de hogar en tramo 0% - 40% - comuna,número de jefes(as) de hogar en tramo 41% - 50% - comuna,número de jefes(as) de hogar en tramo 51% - 60% - comuna,número de jefes(as) de hogar en tramo 61% - 70% - comuna,número de jefes(as) de hogar en tramo 71% - 80% - comuna,número de jefes(as) de hogar en tramo 81% - 90% - comuna,número de jefes(as) de hogar en tramo 91% - 100% - comuna,total - comuna
13107,10961,2286,2072,1948,1772,2472,814,22325
13104,19363,4021,3362,3385,3295,4030,1220,38676
13105,26932,4835,3834,3484,3298,3899,1052,47334
13106,18936,3932,3253,3233,3194,4250,1419,38217
13108,11694,2378,2015,2060,1953,2684,957,23741
13109,10020,1991,1510,1507,1554,2472,783,19837
13103,28310,4629,4007,3693,3579,4326,1474,50018
13101,25972,5185,4467,4764,4743,7116,3012,55259
13102,11510,2377,1895,1894,1842,2668,884,23070
13124,33437,7180,6089,6135,6320,8272,2760,70193
13119,58896,14288,12058,12877,14096,22344,7651,142210
13121,18658,3620,3102,2946,2790,3440,1149,35705
13122,31788,5626,4531,4148,3877,4308,1209,55487
13123,3947,932,743,848,887,2541,1337,11235
13125,21268,5401,4567,4901,4992,7367,2403,50899
13120,10523,2444,1949,2083,2177,4578,2046,25800
13112,32115,6028,4934,4497,4081,4128,1091,56874
13113,5215,1241,1063,1091,1071,1857,728,12266
13117,17611,3530,3000,2836,2695,3474,1236,34382
13110,43955,8837,7174,7381,7405,10674,3670,89096
13114,8472,2522,2203,2667,3031,9961,6463,35319
13115,4794,1256,1092,1078,1081,1401,452,11154
13118,12826,2812,2406,2375,2365,3768,1345,27897
13116,17487,3361,2545,2321,2169,2271,599,30753
13111,20869,4448,3576,3426,3380,4009,1232,40940
13302,12918,2263,1739,1690,1520,2177,609,22916
13201,72485,15182,12556,12631,13101,16852,5271,148078
13202,2626,628,486,471,486,689,223,5609
13203,2251,468,353,382,352,495,162,4463
13303,2981,512,462,459,452,626,192,5684
13401,41044,8336,6713,6659,6402,8037,2620,79811
13301,17382,3071,2396,2374,2139,2700,913,30975
13132,1066,311,241,285,268,1131,460,3762
13127,24116,4505,3541,3524,3273,4179,1253,44391
13128,23309,4811,3974,3766,3735,4580,1512,45687
13130,10725,2088,1652,1673,1746,3026,1260,22170
13126,17401,3605,3092,2910,2958,3996,1385,35347
13129,18332,3073,2431,2461,2507,3459,1318,33581
13131,18034,3051,2464,2256,2137,2491,771,31204
13505,1687,265,202,168,142,193,57,2714
13603,5195,990,843,781,656,746,235,9446
13601,12714,2164,1884,1712,1802,2364,863,23503
13604,8792,1734,1491,1384,1373,1751,572,17097
13605,11060,2571,2183,2132,2130,2789,849,23714
13602,7189,1104,882,796,723,892,288,11874
13503,6151,1134,816,738,793,1046,443,11121
13504,2260,472,361,350,288,344,94,4169
13402,14167,2447,2057,1960,1945,2271,707,25554
13403,2642,602,477,469,421,480,194,5285
13501,20662,3591,2963,2837,2660,3440,1451,37604
13404,12028,2162,1843,1752,1647,2017,632,22081
13502,914,186,122,103,119,248,132,1824
